Ticker,Date/Time,Open,High,Low,Close
NIFTYMIDCAP100,1/1/2003,1000,1000,1000,1000
NIFTYMIDCAP100,1/2/2003,1004.74,1004.74,1004.74,1004.74
NIFTYMIDCAP100,1/3/2003,1002.24,1002.24,1002.24,1002.24
NIFTYMIDCAP100,1/6/2003,994.44,994.44,994.44,994.44
NIFTYMIDCAP100,1/7/2003,995.41,995.41,995.41,995.41
NIFTYMIDCAP100,1/8/2003,1010.31,1010.31,1010.31,1010.31
NIFTYMIDCAP100,1/9/2003,1022.53,1022.53,1022.53,1022.53
NIFTYMIDCAP100,1/10/2003,1015.95,1015.95,1015.95,1015.95
NIFTYMIDCAP100,1/13/2003,1016.31,1016.31,1016.31,1016.31
NIFTYMIDCAP100,1/14/2003,1024,1024,1024,1024
NIFTYMIDCAP100,1/15/2003,1030.28,1030.28,1030.28,1030.28
NIFTYMIDCAP100,1/16/2003,1037.15,1037.15,1037.15,1037.15
NIFTYMIDCAP100,1/17/2003,1035.38,1035.38,1035.38,1035.38
NIFTYMIDCAP100,1/20/2003,1035.83,1035.83,1035.83,1035.83
NIFTYMIDCAP100,1/21/2003,1042.81,1042.81,1042.81,1042.81
NIFTYMIDCAP100,1/22/2003,1040.52,1040.52,1040.52,1040.52
NIFTYMIDCAP100,1/23/2003,1031.21,1031.21,1031.21,1031.21
NIFTYMIDCAP100,1/24/2003,1004.62,1004.62,1004.62,1004.62
NIFTYMIDCAP100,1/27/2003,974.52,974.52,974.52,974.52
NIFTYMIDCAP100,1/28/2003,990.55,990.55,990.55,990.55
NIFTYMIDCAP100,1/29/2003,988.04,988.04,988.04,988.04
NIFTYMIDCAP100,1/30/2003,983.7,983.7,983.7,983.7
NIFTYMIDCAP100,1/31/2003,981.1,981.1,981.1,981.1
NIFTYMIDCAP100,2/3/2003,997.44,997.44,997.44,997.44
NIFTYMIDCAP100,2/4/2003,997.35,997.35,997.35,997.35
NIFTYMIDCAP100,2/5/2003,990.79,990.79,990.79,990.79
NIFTYMIDCAP100,2/6/2003,998.24,998.24,998.24,998.24
NIFTYMIDCAP100,2/7/2003,998.74,998.74,998.74,998.74
NIFTYMIDCAP100,2/10/2003,979.34,979.34,979.34,979.34
NIFTYMIDCAP100,2/11/2003,974.28,974.28,974.28,974.28
