Ticker,Date,Close
NIFTY,03-01-2000,1592.2
NIFTY,04-01-2000,1638.7
NIFTY,05-01-2000,1595.8
NIFTY,06-01-2000,1617.6
NIFTY,07-01-2000,1613.3
NIFTY,10-01-2000,1632.95
NIFTY,11-01-2000,1572.5
NIFTY,12-01-2000,1624.8
NIFTY,13-01-2000,1621.4
NIFTY,14-01-2000,1622.75
NIFTY,17-01-2000,1611.6
NIFTY,18-01-2000,1606.7
NIFTY,19-01-2000,1634.85
NIFTY,20-01-2000,1601.1
NIFTY,21-01-2000,1620.6
NIFTY,24-01-2000,1613.6
NIFTY,25-01-2000,1586.4
NIFTY,27-01-2000,1603.9
NIFTY,28-01-2000,1599.1
NIFTY,31-01-2000,1546.2
NIFTY,01-02-2000,1549.5
NIFTY,02-02-2000,1588
NIFTY,03-02-2000,1597.9
NIFTY,04-02-2000,1599.75
NIFTY,07-02-2000,1636.6
NIFTY,08-02-2000,1662.75
NIFTY,09-02-2000,1689.65
NIFTY,10-02-2000,1711.2
NIFTY,11-02-2000,1756
NIFTY,14-02-2000,1744.5
NIFTY,15-02-2000,1702.55
NIFTY,16-02-2000,1711.1
NIFTY,17-02-2000,1742.1
NIFTY,18-02-2000,1717.8
NIFTY,21-02-2000,1753.5
NIFTY,22-02-2000,1739.05
NIFTY,23-02-2000,1696.4
NIFTY,24-02-2000,1732
NIFTY,25-02-2000,1710.45
NIFTY,28-02-2000,1722.55
NIFTY,29-02-2000,1654.8
NIFTY,01-03-2000,1712.7
NIFTY,02-03-2000,1696.55
NIFTY,03-03-2000,1656
NIFTY,06-03-2000,1688.5
NIFTY,07-03-2000,1702.75
NIFTY,08-03-2000,1666.35
NIFTY,09-03-2000,1646.25
NIFTY,10-03-2000,1602.75
NIFTY,13-03-2000,1560.7
NIFTY,14-03-2000,1567.05
NIFTY,15-03-2000,1620.1
NIFTY,16-03-2000,1562.2
NIFTY,21-03-2000,1556.6
NIFTY,22-03-2000,1589.6
NIFTY,23-03-2000,1553.4
NIFTY,24-03-2000,1569.55
NIFTY,27-03-2000,1562.95
NIFTY,28-03-2000,1568.6
NIFTY,29-03-2000,1558.25
NIFTY,30-03-2000,1549.5
NIFTY,31-03-2000,1528.45
NIFTY,03-04-2000,1534.75
NIFTY,04-04-2000,1428.1
NIFTY,05-04-2000,1434.65
NIFTY,06-04-2000,1452.95
NIFTY,07-04-2000,1557.15
NIFTY,10-04-2000,1613
NIFTY,11-04-2000,1624.65
NIFTY,12-04-2000,1592.7
NIFTY,13-04-2000,1518.65
NIFTY,17-04-2000,1443.55
NIFTY,18-04-2000,1414.8
NIFTY,19-04-2000,1404.95
NIFTY,20-04-2000,1415.65
NIFTY,24-04-2000,1388
NIFTY,25-04-2000,1359.45
NIFTY,26-04-2000,1436.1
NIFTY,27-04-2000,1416.9
NIFTY,28-04-2000,1406.55
NIFTY,02-05-2000,1333.45
NIFTY,03-05-2000,1316.05
NIFTY,04-05-2000,1380.55
NIFTY,05-05-2000,1422.4
NIFTY,08-05-2000,1365.05
NIFTY,09-05-2000,1378.55
NIFTY,10-05-2000,1363.15
NIFTY,11-05-2000,1304.55
NIFTY,12-05-2000,1282.8
NIFTY,15-05-2000,1299.25
NIFTY,16-05-2000,1306.85
NIFTY,17-05-2000,1311.65
NIFTY,18-05-2000,1293.4
NIFTY,19-05-2000,1268
NIFTY,22-05-2000,1233
NIFTY,23-05-2000,1224.4
NIFTY,24-05-2000,1235.9
NIFTY,25-05-2000,1247.65
NIFTY,26-05-2000,1275.35
NIFTY,29-05-2000,1311.05
NIFTY,30-05-2000,1344.85
NIFTY,31-05-2000,1380.45
NIFTY,01-06-2000,1349
NIFTY,02-06-2000,1389.25
NIFTY,05-06-2000,1404.6
NIFTY,06-06-2000,1421.75
NIFTY,07-06-2000,1430.35
NIFTY,08-06-2000,1463.65
NIFTY,09-06-2000,1467.2
NIFTY,12-06-2000,1440.4
NIFTY,13-06-2000,1432.9
NIFTY,14-06-2000,1435.5
NIFTY,15-06-2000,1445.25
NIFTY,16-06-2000,1477.3
NIFTY,19-06-2000,1498.75
NIFTY,20-06-2000,1507.1
NIFTY,21-06-2000,1475.15
NIFTY,22-06-2000,1488.25
NIFTY,23-06-2000,1472.2
NIFTY,26-06-2000,1451.65
NIFTY,27-06-2000,1454.3
NIFTY,28-06-2000,1470
NIFTY,29-06-2000,1492.35
NIFTY,30-06-2000,1471.45
NIFTY,03-07-2000,1495.25
NIFTY,04-07-2000,1511.3
NIFTY,05-07-2000,1526.05
NIFTY,06-07-2000,1516.8
NIFTY,07-07-2000,1517.6
NIFTY,10-07-2000,1509.65
NIFTY,11-07-2000,1518.55
NIFTY,12-07-2000,1533.35
NIFTY,13-07-2000,1522.6
NIFTY,14-07-2000,1509.75
NIFTY,17-07-2000,1479.65
NIFTY,18-07-2000,1463.1
NIFTY,19-07-2000,1435.8
NIFTY,20-07-2000,1424.2
NIFTY,21-07-2000,1397.25
NIFTY,24-07-2000,1317.75
NIFTY,25-07-2000,1348.9
NIFTY,26-07-2000,1318.25
NIFTY,27-07-2000,1338.05
NIFTY,28-07-2000,1333.8
NIFTY,31-07-2000,1332.85
NIFTY,01-08-2000,1326.85
NIFTY,02-08-2000,1331.9
NIFTY,03-08-2000,1321.25
NIFTY,04-08-2000,1318.55
NIFTY,07-08-2000,1310.8
NIFTY,08-08-2000,1345.6
NIFTY,09-08-2000,1344.95
NIFTY,10-08-2000,1328
NIFTY,11-08-2000,1310.75
NIFTY,14-08-2000,1317.9
NIFTY,16-08-2000,1351.45
NIFTY,17-08-2000,1341.4
NIFTY,18-08-2000,1358.05
NIFTY,21-08-2000,1370.25
NIFTY,22-08-2000,1381.2
NIFTY,23-08-2000,1386.05
NIFTY,24-08-2000,1386.95
NIFTY,25-08-2000,1381.25
NIFTY,28-08-2000,1369.85
NIFTY,29-08-2000,1367.7
NIFTY,30-08-2000,1375.95
NIFTY,31-08-2000,1394.1
NIFTY,04-09-2000,1427.75
NIFTY,05-09-2000,1428.25
NIFTY,06-09-2000,1435.35
NIFTY,07-09-2000,1439.75
NIFTY,08-09-2000,1450.05
NIFTY,11-09-2000,1456.35
NIFTY,12-09-2000,1467.65
NIFTY,13-09-2000,1456.15
NIFTY,14-09-2000,1445.3
NIFTY,15-09-2000,1417.2
NIFTY,18-09-2000,1354.35
NIFTY,19-09-2000,1317
NIFTY,20-09-2000,1342.9
NIFTY,21-09-2000,1329.85
NIFTY,22-09-2000,1266.45
NIFTY,25-09-2000,1292.55
NIFTY,26-09-2000,1267.9
NIFTY,27-09-2000,1292.55
NIFTY,28-09-2000,1266.4
NIFTY,29-09-2000,1271.65
NIFTY,03-10-2000,1282
NIFTY,04-10-2000,1297.8
NIFTY,05-10-2000,1284.75
NIFTY,06-10-2000,1285
NIFTY,09-10-2000,1267.3
NIFTY,10-10-2000,1238.95
NIFTY,11-10-2000,1201.9
NIFTY,12-10-2000,1206.25
NIFTY,13-10-2000,1176.75
NIFTY,16-10-2000,1175.45
NIFTY,17-10-2000,1158.05
NIFTY,18-10-2000,1136
NIFTY,19-10-2000,1166.15
NIFTY,20-10-2000,1172
NIFTY,23-10-2000,1143.95
NIFTY,24-10-2000,1152.45
NIFTY,25-10-2000,1183.9
NIFTY,26-10-2000,1186.3
NIFTY,27-10-2000,1178.7
NIFTY,30-10-2000,1167.15
NIFTY,31-10-2000,1172.75
NIFTY,01-11-2000,1200.8
NIFTY,02-11-2000,1224.85
NIFTY,03-11-2000,1242.05
NIFTY,06-11-2000,1240.25
NIFTY,07-11-2000,1246.75
NIFTY,08-11-2000,1266.8
NIFTY,09-11-2000,1269.95
NIFTY,10-11-2000,1239.55
NIFTY,13-11-2000,1208.05
NIFTY,14-11-2000,1242.85
NIFTY,15-11-2000,1247.05
NIFTY,16-11-2000,1233.25
NIFTY,17-11-2000,1236
NIFTY,20-11-2000,1237.6
NIFTY,21-11-2000,1235
NIFTY,22-11-2000,1222.35
NIFTY,23-11-2000,1216
NIFTY,24-11-2000,1225.2
NIFTY,27-11-2000,1252.9
NIFTY,28-11-2000,1272.75
NIFTY,29-11-2000,1264.75
