Date,ExpiryDate,Instrument,Symbol,StrikePrice,OptionType,Open,High,Low,Close,SettledPrice,Contracts,TurnOver,OpenInterest
2019-10-30,2019-10-31,FUTIDX,BANKNIFTY,0.0,FUT,30015.4,30151.4,29740.05,29986.45,29986.45,180770,1084278.28,760180
2019-10-30,2019-11-28,FUTIDX,BANKNIFTY,0.0,FUT,30100.05,30267.0,29879.3,30095.9,30095.9,43805,263842.88,612080
2019-10-30,2019-12-26,FUTIDX,BANKNIFTY,0.0,FUT,30150.0,30363.65,29990.0,30198.7,30198.7,662,4000.74,18800
2019-10-30,2019-10-31,FUTIDX,NIFTY,0.0,FUT,11852.3,11877.6,11785.25,11840.2,11840.2,176734,1568991.25,7737075
2019-10-30,2019-11-28,FUTIDX,NIFTY,0.0,FUT,11901.4,11925.0,11835.3,11889.1,11889.1,101215,902237.06,8439000
2019-10-30,2019-12-26,FUTIDX,NIFTY,0.0,FUT,11910.0,11970.0,11880.1,11933.9,11933.9,4327,38725.83,367425
2019-10-30,2019-10-31,FUTIDX,NIFTYIT,0.0,FUT,15300.0,15500.0,15226.0,15479.0,15479.0,207,1594.72,6750
2019-10-30,2019-11-28,FUTIDX,NIFTYIT,0.0,FUT,15435.0,15545.0,15306.0,15527.0,15527.0,90,695.91,4450
2019-10-30,2019-12-26,FUTIDX,NIFTYIT,0.0,FUT,0.0,0.0,0.0,15550.0,15538.0,0,0.0,0
2019-10-30,2019-10-31,FUTSTK,ACC,0.0,FUT,1537.55,1573.9,1521.0,1534.15,1534.15,4942,30706.41,438800
2019-10-30,2019-11-28,FUTSTK,ACC,0.0,FUT,1538.1,1582.4,1529.1,1541.85,1541.85,5035,31408.53,2093600
2019-10-30,2019-12-26,FUTSTK,ACC,0.0,FUT,1566.35,1584.9,1541.6,1547.65,1547.65,13,81.45,8400
2019-10-30,2019-10-31,FUTSTK,ADANIENT,0.0,FUT,193.9,197.35,192.2,195.4,195.4,3920,30536.37,3872000
2019-10-30,2019-11-28,FUTSTK,ADANIENT,0.0,FUT,194.9,198.4,193.4,196.9,196.9,2647,20733.71,27484000
