Date,ExpiryDate,Instrument,Symbol,StrikePrice,OptionType,Open,High,Low,Close,SettledPrice,Contracts,TurnOver,OpenInterest
2011-07-20,2011-07-28,FUTIDX,BANKNIFTY,0.0,FUT,11392.95,11403.1,11156.25,11179.45,11179.45,46158,130070.52,1065250
2011-07-20,2011-08-25,FUTIDX,BANKNIFTY,0.0,FUT,11434.7,11434.7,11205.0,11221.9,11221.9,3928,11089.38,86200
2011-07-20,2011-09-29,FUTIDX,BANKNIFTY,0.0,FUT,11450.0,11450.0,11221.0,11231.6,11231.6,115,325.78,2125
2011-07-20,2011-07-28,FUTIDX,CNXIT,0.0,FUT,6384.0,6406.25,6312.0,6330.2,6330.2,132,419.21,22800
2011-07-20,2011-08-25,FUTIDX,CNXIT,0.0,FUT,6400.0,6400.0,6350.0,6350.0,6386.1,8,25.56,700
2011-07-20,2011-09-29,FUTIDX,CNXIT,0.0,FUT,0.0,0.0,0.0,6782.3,6443.35,0,0.0,0
2011-07-20,2011-07-28,FUTIDX,MINIFTY,0.0,FUT,5646.0,5656.1,5555.15,5569.8,5569.8,41803,46823.72,650900
2011-07-20,2011-08-25,FUTIDX,MINIFTY,0.0,FUT,5656.0,5672.0,5576.8,5590.3,5590.3,6037,6780.56,174040
2011-07-20,2011-09-29,FUTIDX,MINIFTY,0.0,FUT,5680.0,5690.9,5595.0,5609.75,5609.75,1118,1260.16,33640
2011-07-20,2011-07-28,FUTIDX,NFTYMCAP50,0.0,FUT,0.0,0.0,0.0,2630.6,2470.7,0,0.0,0
2011-07-20,2011-08-25,FUTIDX,NFTYMCAP50,0.0,FUT,0.0,0.0,0.0,2460.4,2488.6,0,0.0,0
2011-07-20,2011-09-29,FUTIDX,NFTYMCAP50,0.0,FUT,0.0,0.0,0.0,2476.6,2510.95,0,0.0,0
2011-07-20,2011-07-28,FUTIDX,NIFTY,0.0,FUT,5651.2,5658.9,5554.05,5569.55,5569.55,362723,1015783.01,21585150
2011-07-20,2011-08-25,FUTIDX,NIFTY,0.0,FUT,5665.0,5674.85,5575.5,5589.6,5589.6,27432,77091.21,2167200
2011-07-20,2011-09-29,FUTIDX,NIFTY,0.0,FUT,5699.9,5699.9,5594.55,5607.8,5607.8,1683,4741.25,297200
2011-07-20,2011-07-28,FUTSTK,3IINFOTECH,0.0,FUT,44.95,46.85,44.95,45.7,45.7,907,3344.53,11520000
2011-07-20,2011-08-25,FUTSTK,3IINFOTECH,0.0,FUT,45.2,47.05,45.2,45.9,45.9,190,702.22,2000000
2011-07-20,2011-09-29,FUTSTK,3IINFOTECH,0.0,FUT,0.0,0.0,0.0,47.4,46.35,0,0.0,0
2011-07-20,2011-07-28,FUTSTK,ABAN,0.0,FUT,522.0,535.4,520.4,524.3,524.3,2090,5528.33,2803500
2011-07-20,2011-08-25,FUTSTK,ABAN,0.0,FUT,527.0,535.0,524.0,526.65,526.65,196,517.98,558500
2011-07-20,2011-09-29,FUTSTK,ABAN,0.0,FUT,0.0,0.0,0.0,519.75,533.0,0,0.0,7500
2011-07-20,2011-07-28,FUTSTK,ABB,0.0,FUT,886.4,891.3,854.05,861.15,861.15,436,1898.9,599000
2011-07-20,2011-08-25,FUTSTK,ABB,0.0,FUT,880.6,880.6,850.0,854.85,854.85,22,94.5,43000
2011-07-20,2011-09-29,FUTSTK,ABB,0.0,FUT,0.0,0.0,0.0,896.4,875.4,0,0.0,0
2011-07-20,2011-07-28,FUTSTK,ABGSHIP,0.0,FUT,375.75,381.7,373.6,377.25,377.25,329,1243.35,3137000
2011-07-20,2011-08-25,FUTSTK,ABGSHIP,0.0,FUT,0.0,0.0,0.0,390.0,381.2,160,608.12,224000
2011-07-20,2011-09-29,FUTSTK,ABGSHIP,0.0,FUT,0.0,0.0,0.0,360.65,384.6,0,0.0,0
2011-07-20,2011-07-28,FUTSTK,ABIRLANUVO,0.0,FUT,917.85,929.0,908.1,911.2,911.2,153,701.88,1094500
2011-07-20,2011-08-25,FUTSTK,ABIRLANUVO,0.0,FUT,925.0,929.45,917.0,917.0,915.85,7,32.32,8500
2011-07-20,2011-09-29,FUTSTK,ABIRLANUVO,0.0,FUT,0.0,0.0,0.0,924.65,924.05,0,0.0,0
2011-07-20,2011-07-28,FUTSTK,ACC,0.0,FUT,988.45,989.95,966.15,976.45,976.45,2147,5247.6,1084750
2011-07-20,2011-08-25,FUTSTK,ACC,0.0,FUT,979.0,979.45,957.0,968.15,968.15,431,1043.97,333500
2011-07-20,2011-09-29,FUTSTK,ACC,0.0,FUT,975.1,975.1,953.0,962.2,962.2,45,108.85,63250
