Date,ExpiryDate,Instrument,Symbol,StrikePrice,OptionType,Open,High,Low,Close,SettledPrice,Contracts,TurnOver,OpenInterest
2001-09-05,2001-09-27,FUTIDX,NIFTY,0,FUT,1055.0,1055.85,1047.5,1048.6,1048.6,2512.0,5282.03,1323400
2001-09-05,2001-10-25,FUTIDX,NIFTY,0,FUT,1055.8,1058.0,1050.3,1051.25,1051.25,409.0,861.7,304200
2001-09-05,2001-11-29,FUTIDX,NIFTY,0,FUT,1058.9,1060.95,1053.0,1053.8,1053.8,102.0,215.48,51600
2001-09-05,2001-09-27,OPTIDX,NIFTY,1000,CE,0.0,0.0,0.0,53.2,50.15,0.0,0.0,0
2001-09-05,2001-09-27,OPTIDX,NIFTY,1020,CE,33.5,33.5,28.55,29.5,29.5,6.0,12.59,7000
2001-09-05,2001-09-27,OPTIDX,NIFTY,1040,CE,20.2,21.25,14.25,14.5,14.5,202.0,426.81,77000
2001-09-05,2001-09-27,OPTIDX,NIFTY,1060,CE,10.85,10.85,5.4,5.85,5.85,148.0,315.92,152400
2001-09-05,2001-09-27,OPTIDX,NIFTY,1080,CE,3.95,3.95,1.65,1.8,1.8,58.0,125.53,121200
2001-09-05,2001-09-27,OPTIDX,NIFTY,1100,CE,1.2,1.2,0.6,0.6,0.6,43.0,94.66,98000
2001-09-05,2001-09-27,OPTIDX,NIFTY,1120,CE,0.95,0.95,0.5,0.5,0.5,11.0,24.65,19600
2001-09-05,2001-09-27,OPTIDX,NIFTY,1140,CE,0.0,0.0,0.0,0.5,0.05,0.0,0.0,2200
2001-09-05,2001-09-27,OPTIDX,NIFTY,1160,CE,0.0,0.0,0.0,0.1,0.0,0.0,0.0,400
2001-09-05,2001-09-27,OPTIDX,NIFTY,1000,PE,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0
2001-09-05,2001-09-27,OPTIDX,NIFTY,1020,PE,1.75,1.75,1.55,1.55,1.55,16.0,32.69,14200
2001-09-05,2001-09-27,OPTIDX,NIFTY,1040,PE,5.0,6.7,5.0,6.05,6.05,68.0,142.27,49800
2001-09-05,2001-09-27,OPTIDX,NIFTY,1060,PE,12.0,17.2,12.0,16.85,16.85,94.0,202.06,137400
2001-09-05,2001-09-27,OPTIDX,NIFTY,1080,PE,30.3,33.7,29.05,33.7,33.7,24.0,53.38,81800
2001-09-05,2001-09-27,OPTIDX,NIFTY,1100,PE,52.15,52.15,52.0,52.0,52.0,3.0,6.91,24600
2001-09-05,2001-09-27,OPTIDX,NIFTY,1120,PE,0.0,0.0,0.0,45.8,69.75,0.0,0.0,800
2001-09-05,2001-09-27,OPTIDX,NIFTY,1140,PE,0.0,0.0,0.0,83.0,89.6,0.0,0.0,1000
2001-09-05,2001-09-27,OPTIDX,NIFTY,1160,PE,0.0,0.0,0.0,104.0,109.5,0.0,0.0,3200
2001-09-05,2001-10-25,OPTIDX,NIFTY,1000,CE,0.0,0.0,0.0,61.45,58.0,0.0,0.0,0
2001-09-05,2001-10-25,OPTIDX,NIFTY,1020,CE,0.0,0.0,0.0,64.0,40.95,0.0,0.0,1200
2001-09-05,2001-10-25,OPTIDX,NIFTY,1040,CE,23.35,25.1,19.0,19.15,19.15,14.0,29.7,5600
2001-09-05,2001-10-25,OPTIDX,NIFTY,1060,CE,14.0,14.0,12.0,12.9,12.9,19.0,40.78,16600
2001-09-05,2001-10-25,OPTIDX,NIFTY,1080,CE,8.0,8.0,6.15,6.15,6.15,9.0,19.56,13000
2001-09-05,2001-10-25,OPTIDX,NIFTY,1100,CE,4.6,4.7,4.5,4.5,4.5,15.0,33.13,30000
2001-09-05,2001-10-25,OPTIDX,NIFTY,1120,CE,0.0,0.0,0.0,9.0,1.55,0.0,0.0,1400
2001-09-05,2001-10-25,OPTIDX,NIFTY,1000,PE,0.0,0.0,0.0,1.9,1.65,0.0,0.0,0
