Date,ExpiryDate,Instrument,Symbol,StrikePrice,OptionType,Open,High,Low,Close,SettledPrice,Contracts,TurnOver,OpenInterest
2005-05-23,2005-05-26,FUTIDX,CNXIT,0.0,FUT,2711.0,2767.5,2708.5,2759.6,2759.6,170.0,466.21,27300.0
2005-05-23,2005-06-30,FUTIDX,CNXIT,0.0,FUT,2710.0,2760.0,2710.0,2756.7,2756.7,11.0,30.2,2400.0
2005-05-23,2005-07-28,FUTIDX,CNXIT,0.0,FUT,0.0,0.0,0.0,2660.0,2801.65,0.0,0.0,100.0
2005-05-23,2005-05-26,FUTIDX,NIFTY,0.0,FUT,1988.15,2013.9,1982.0,2010.15,2010.15,151538.0,303197.7,18978400.0
2005-05-23,2005-06-30,FUTIDX,NIFTY,0.0,FUT,1980.0,2000.0,1972.3,1997.55,1997.55,60754.0,120863.55,5876500.0
2005-05-23,2005-07-28,FUTIDX,NIFTY,0.0,FUT,1970.0,1994.45,1969.0,1991.4,1991.4,290.0,575.81,124100.0
2005-05-23,2005-05-26,FUTINT,NSE10Y06,0.0,FUT,0.0,0.0,0.0,94.46,91.3,0.0,0.0,0.0
2005-05-23,2005-06-30,FUTINT,NSE10Y06,0.0,FUT,0.0,0.0,0.0,97.95,91.17,0.0,0.0,0.0
2005-05-23,2005-07-28,FUTINT,NSE10Y06,0.0,FUT,0.0,0.0,0.0,90.56,91.04,0.0,0.0,0.0
2005-05-23,2005-09-29,FUTINT,NSE10Y06,0.0,FUT,0.0,0.0,0.0,93.42,90.78,0.0,0.0,0.0
2005-05-23,2005-12-29,FUTINT,NSE10Y06,0.0,FUT,0.0,0.0,0.0,93.87,90.38,0.0,0.0,0.0
2005-05-23,2006-03-30,FUTINT,NSE10Y06,0.0,FUT,0.0,0.0,0.0,93.16,89.96,0.0,0.0,0.0
2005-05-23,2005-05-26,FUTINT,NSE10YZC,0.0,FUT,0.0,0.0,0.0,51.04,48.57,0.0,0.0,0.0
2005-05-23,2005-06-30,FUTINT,NSE10YZC,0.0,FUT,0.0,0.0,0.0,53.37,48.48,0.0,0.0,0.0
2005-05-23,2005-07-28,FUTINT,NSE10YZC,0.0,FUT,0.0,0.0,0.0,48.03,48.4,0.0,0.0,0.0
2005-05-23,2005-09-29,FUTINT,NSE10YZC,0.0,FUT,0.0,0.0,0.0,50.37,48.22,0.0,0.0,0.0
