Date,ExpiryDate,Instrument,Symbol,StrikePrice,OptionType,Open,High,Low,Close,SettledPrice,Contracts,TurnOver,OpenInterest
2005-08-25,2005-08-25,FUTIDX,BANKNIFTY,0.0,FUT,4015.0,4031.0,3984.0,4024.45,4038.05,959,3844.78,63700
2005-08-25,2005-09-29,FUTIDX,BANKNIFTY,0.0,FUT,4039.0,4064.0,4005.0,4051.8,4051.8,699,2817.53,144900
2005-08-25,2005-10-27,FUTIDX,BANKNIFTY,0.0,FUT,0.0,0.0,0.0,4426.5,4080.1,0,0.0,0
2005-08-25,2005-08-25,FUTIDX,CNXIT,0.0,FUT,3005.0,3045.0,2990.0,3038.0,3049.85,146,439.84,13900
2005-08-25,2005-09-29,FUTIDX,CNXIT,0.0,FUT,2998.0,3059.9,2990.05,3043.35,3043.35,60,181.31,6000
2005-08-25,2005-10-27,FUTIDX,CNXIT,0.0,FUT,0.0,0.0,0.0,3030.7,3081.6,0,0.0,0
2005-08-25,2005-08-25,FUTIDX,NIFTY,0.0,FUT,2347.0,2354.9,2322.5,2348.8,2354.55,147602,344624.28,6475700
2005-08-25,2005-09-29,FUTIDX,NIFTY,0.0,FUT,2300.0,2333.5,2293.0,2327.35,2327.35,131440,304063.08,21877400
2005-08-25,2005-10-27,FUTIDX,NIFTY,0.0,FUT,2291.5,2314.0,2281.5,2309.9,2309.9,1093,2513.2,220300
2005-08-25,2005-08-25,FUTINT,NSE10Y06,0.0,FUT,0.0,0.0,0.0,91.69,91.35,0,0.0,0
2005-08-25,2005-09-29,FUTINT,NSE10Y06,0.0,FUT,0.0,0.0,0.0,93.42,91.22,0,0.0,0
2005-08-25,2005-10-27,FUTINT,NSE10Y06,0.0,FUT,0.0,0.0,0.0,92.91,91.11,0,0.0,0
2005-08-25,2005-12-29,FUTINT,NSE10Y06,0.0,FUT,0.0,0.0,0.0,93.87,90.86,0,0.0,0
2005-08-25,2006-03-30,FUTINT,NSE10Y06,0.0,FUT,0.0,0.0,0.0,93.16,90.48,0,0.0,0
2005-08-25,2006-06-29,FUTINT,NSE10Y06,0.0,FUT,0.0,0.0,0.0,92.16,90.12,0,0.0,0
2005-08-25,2005-08-25,FUTINT,NSE10YZC,0.0,FUT,0.0,0.0,0.0,49.09,48.57,0,0.0,0
2005-08-25,2005-09-29,FUTINT,NSE10YZC,0.0,FUT,0.0,0.0,0.0,50.37,48.48,0,0.0,0
2005-08-25,2005-10-27,FUTINT,NSE10YZC,0.0,FUT,0.0,0.0,0.0,49.84,48.41,0,0.0,0
2005-08-25,2005-12-29,FUTINT,NSE10YZC,0.0,FUT,0.0,0.0,0.0,50.64,48.26,0,0.0,0
2005-08-25,2006-03-30,FUTINT,NSE10YZC,0.0,FUT,0.0,0.0,0.0,50.02,48.02,0,0.0,0
2005-08-25,2006-06-29,FUTINT,NSE10YZC,0.0,FUT,0.0,0.0,0.0,49.14,47.79,0,0.0,0
2005-08-25,2005-08-25,FUTINT,NSETB91D,0.0,FUT,0.0,0.0,0.0,94.84,94.61,0,0.0,0
2005-08-25,2005-09-29,FUTINT,NSETB91D,0.0,FUT,0.0,0.0,0.0,98.82,95.12,0,0.0,0
2005-08-25,2005-10-27,FUTINT,NSETB91D,0.0,FUT,0.0,0.0,0.0,94.78,95.51,0,0.0,0
2005-08-25,2005-12-29,FUTINT,NSETB91D,0.0,FUT,0.0,0.0,0.0,99.64,96.43,0,0.0,0
2005-08-25,2006-03-30,FUTINT,NSETB91D,0.0,FUT,0.0,0.0,0.0,100.04,97.77,0,0.0,0
2005-08-25,2006-06-29,FUTINT,NSETB91D,0.0,FUT,0.0,0.0,0.0,99.57,99.13,0,0.0,0
2005-08-25,2005-08-25,FUTSTK,ABB,0.0,FUT,1500.0,1505.45,1471.1,1498.75,1506.7,239,711.21,40600
2005-08-25,2005-09-29,FUTSTK,ABB,0.0,FUT,1499.95,1510.0,1480.0,1505.25,1505.25,241,720.23,84800
2005-08-25,2005-10-27,FUTSTK,ABB,0.0,FUT,0.0,0.0,0.0,1481.85,1522.4,0,0.0,0
2005-08-25,2005-08-25,FUTSTK,ACC,0.0,FUT,462.15,463.25,457.1,458.7,458.2,2631,9080.06,533250
2005-08-25,2005-09-29,FUTSTK,ACC,0.0,FUT,457.4,460.6,452.5,457.5,457.5,2829,9687.87,5167500
2005-08-25,2005-10-27,FUTSTK,ACC,0.0,FUT,469.2,469.2,469.2,469.2,463.0,1,3.51,750
2005-08-25,2005-08-25,FUTSTK,ALBK,0.0,FUT,87.8,88.35,85.0,86.15,85.9,1284,2753.5,1690500
2005-08-25,2005-09-29,FUTSTK,ALBK,0.0,FUT,88.5,89.0,86.0,87.15,87.15,1561,3368.06,7210350
2005-08-25,2005-10-27,FUTSTK,ALBK,0.0,FUT,88.0,88.0,88.0,88.0,88.0,2,4.31,4900
2005-08-25,2005-08-25,FUTSTK,ALOKTEXT,0.0,FUT,69.6,72.0,68.0,70.5,70.45,1513,3542.93,1152400
2005-08-25,2005-09-29,FUTSTK,ALOKTEXT,0.0,FUT,68.2,71.4,67.75,70.8,70.8,1383,3224.9,8314700
2005-08-25,2005-10-27,FUTSTK,ALOKTEXT,0.0,FUT,0.0,0.0,0.0,71.85,71.2,0,0.0,3350
2005-08-25,2005-08-25,FUTSTK,ANDHRABANK,0.0,FUT,93.15,94.5,91.4,92.25,91.6,1618,3475.35,1207500
2005-08-25,2005-09-29,FUTSTK,ANDHRABANK,0.0,FUT,94.7,94.75,92.3,93.05,93.05,1558,3365.58,5729300
2005-08-25,2005-10-27,FUTSTK,ANDHRABANK,0.0,FUT,0.0,0.0,0.0,110.75,92.55,0,0.0,0
2005-08-25,2005-08-25,FUTSTK,ARVINDMILL,0.0,FUT,125.95,127.5,124.0,125.55,125.95,3300,8938.92,1511450
2005-08-25,2005-09-29,FUTSTK,ARVINDMILL,0.0,FUT,121.15,128.0,121.15,126.9,126.9,3120,8469.76,13562200
2005-08-25,2005-10-27,FUTSTK,ARVINDMILL,0.0,FUT,127.0,127.0,127.0,127.0,127.3,1,2.73,4300
2005-08-25,2005-08-25,FUTSTK,ASHOKLEY,0.0,FUT,26.4,26.5,26.15,26.3,26.15,2531,6363.42,6780500
2005-08-25,2005-09-29,FUTSTK,ASHOKLEY,0.0,FUT,26.85,26.85,26.2,26.55,26.55,2192,5554.27,41294200
2005-08-25,2005-10-27,FUTSTK,ASHOKLEY,0.0,FUT,26.75,26.95,26.7,26.85,26.85,16,40.97,229200
2005-08-25,2005-08-25,FUTSTK,AUROPHARMA,0.0,FUT,348.9,349.95,335.0,341.55,341.75,847,2045.54,312900
2005-08-25,2005-09-29,FUTSTK,AUROPHARMA,0.0,FUT,352.95,354.0,341.2,346.75,346.75,816,1993.57,1369900
2005-08-25,2005-10-27,FUTSTK,AUROPHARMA,0.0,FUT,0.0,0.0,0.0,372.45,345.35,0,0.0,0
2005-08-25,2005-08-25,FUTSTK,BAJAJAUTO,0.0,FUT,1359.0,1409.8,1337.0,1405.05,1406.35,1172,3226.62,114000
2005-08-25,2005-09-29,FUTSTK,BAJAJAUTO,0.0,FUT,1334.0,1399.0,1331.0,1392.95,1392.95,922,2533.81,287000
2005-08-25,2005-10-27,FUTSTK,BAJAJAUTO,0.0,FUT,0.0,0.0,0.0,1470.85,1421.0,0,0.0,0
2005-08-25,2005-08-25,FUTSTK,BANKBARODA,0.0,FUT,245.6,247.85,242.55,246.25,247.2,1690,5794.18,581000
2005-08-25,2005-09-29,FUTSTK,BANKBARODA,0.0,FUT,250.0,252.9,245.2,250.4,250.4,1851,6427.28,4321800
2005-08-25,2005-10-27,FUTSTK,BANKBARODA,0.0,FUT,247.0,249.65,243.0,249.65,249.65,4,13.85,5600
2005-08-25,2005-08-25,FUTSTK,BANKINDIA,0.0,FUT,114.25,118.8,114.05,117.9,118.25,1836,4070.0,786600
2005-08-25,2005-09-29,FUTSTK,BANKINDIA,0.0,FUT,116.0,120.35,115.05,119.6,119.6,1950,4381.78,3287000
2005-08-25,2005-10-27,FUTSTK,BANKINDIA,0.0,FUT,0.0,0.0,0.0,123.0,119.5,0,0.0,3800
2005-08-25,2005-08-25,FUTSTK,BEL,0.0,FUT,709.85,715.0,688.5,698.6,700.5,339,1317.37,70400
2005-08-25,2005-09-29,FUTSTK,BEL,0.0,FUT,712.9,716.85,701.0,706.15,706.15,400,1559.45,295350
2005-08-25,2005-10-27,FUTSTK,BEL,0.0,FUT,0.0,0.0,0.0,741.2,707.8,0,0.0,0
2005-08-25,2005-08-25,FUTSTK,BHARATFORG,0.0,FUT,292.0,295.6,285.55,289.1,291.35,1434,4172.29,322000
2005-08-25,2005-09-29,FUTSTK,BHARATFORG,0.0,FUT,297.0,297.8,289.0,292.0,292.0,1294,3795.88,3080000
2005-08-25,2005-10-27,FUTSTK,BHARATFORG,0.0,FUT,294.9,294.9,294.9,294.9,294.4,1,2.94,1000
2005-08-25,2005-08-25,FUTSTK,BHARTI,0.0,FUT,306.0,314.4,306.0,313.35,314.25,3122,9730.8,1978000
2005-08-25,2005-09-29,FUTSTK,BHARTI,0.0,FUT,313.6,316.5,312.0,315.6,315.6,2984,9373.44,6050000
2005-08-25,2005-10-27,FUTSTK,BHARTI,0.0,FUT,0.0,0.0,0.0,321.8,317.55,0,0.0,2000
2005-08-25,2005-08-25,FUTSTK,BHEL,0.0,FUT,1060.0,1111.0,1059.9,1104.35,1106.45,2220,7217.42,382500
2005-08-25,2005-09-29,FUTSTK,BHEL,0.0,FUT,1052.0,1089.0,1049.0,1082.2,1082.2,1916,6159.25,750000
2005-08-25,2005-10-27,FUTSTK,BHEL,0.0,FUT,0.0,0.0,0.0,1021.95,1118.0,0,0.0,0
2005-08-25,2005-08-25,FUTSTK,BILT,0.0,FUT,114.6,114.6,112.75,113.2,113.65,897,1939.64,577600
2005-08-25,2005-09-29,FUTSTK,BILT,0.0,FUT,114.9,116.2,114.05,115.55,115.55,1038,2265.92,3988100
2005-08-25,2005-10-27,FUTSTK,BILT,0.0,FUT,0.0,0.0,0.0,122.05,114.85,0,0.0,1900
2005-08-25,2005-08-25,FUTSTK,BONGAIREFN,0.0,FUT,77.5,79.25,76.8,77.35,77.3,682,1201.32,733500
2005-08-25,2005-09-29,FUTSTK,BONGAIREFN,0.0,FUT,78.5,79.9,77.05,78.15,78.15,611,1086.07,2009250
2005-08-25,2005-10-27,FUTSTK,BONGAIREFN,0.0,FUT,0.0,0.0,0.0,90.0,78.1,0,0.0,0
2005-08-25,2005-08-25,FUTSTK,BPCL,0.0,FUT,364.0,364.6,351.7,355.2,356.35,1167,2309.02,330550
2005-08-25,2005-09-29,FUTSTK,BPCL,0.0,FUT,363.0,363.0,351.3,355.0,355.0,796,1561.32,968550
2005-08-25,2005-10-27,FUTSTK,BPCL,0.0,FUT,0.0,0.0,0.0,372.1,360.1,0,0.0,0
2005-08-25,2005-08-25,FUTSTK,CADILAHC,0.0,FUT,499.5,504.75,494.0,495.55,494.3,126,315.23,33500
